epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,440.39,0.83624,1.44474,0.82241,0.24912,0.4703,0.42588,0.3063,1.0177,1.74649,0.80139,0.000204769,0.000204769,0.000204769
72,446.269,0.83869,1.47696,0.80754,0.35862,0.36651,0.42903,0.30465,1.04132,1.75498,0.80067,0.000198166,0.000198166,0.000198166
73,452.311,0.87138,1.48265,0.81071,0.46813,0.36285,0.49926,0.35558,1.02075,1.5847,0.80669,0.000191562,0.000191562,0.000191562
74,458.109,0.82361,1.41105,0.80125,0.37672,0.54384,0.51228,0.37556,1.01279,1.51811,0.80753,0.000184959,0.000184959,0.000184959
75,463.922,0.85789,1.43307,0.81307,0.52474,0.48044,0.53623,0.38499,1.00937,1.48649,0.80687,0.000178356,0.000178356,0.000178356
76,469.823,0.88347,1.49485,0.80395,0.53082,0.42473,0.52113,0.37741,1.02336,1.49504,0.80192,0.000171752,0.000171752,0.000171752
77,475.633,0.89786,1.53938,0.82031,0.4258,0.43301,0.48018,0.36395,0.96446,1.56783,0.80188,0.000165149,0.000165149,0.000165149
78,481.767,0.86352,1.46786,0.80381,0.40341,0.3392,0.4466,0.33743,0.95452,1.71182,0.79834,0.000158546,0.000158546,0.000158546
79,487.627,0.83959,1.43084,0.81027,0.4023,0.35919,0.45262,0.34192,0.95158,1.59028,0.79673,0.000151943,0.000151943,0.000151943
80,493.305,0.87177,1.38122,0.8109,0.36238,0.4467,0.48406,0.36522,0.97657,1.49312,0.79492,0.000145339,0.000145339,0.000145339
81,499.49,0.87879,1.35023,0.79971,0.49737,0.34144,0.49619,0.37508,0.94426,1.48963,0.7945,0.000138736,0.000138736,0.000138736
82,506.357,0.81731,1.29756,0.811,0.46231,0.34183,0.47525,0.35388,0.96119,1.58478,0.79658,0.000132133,0.000132133,0.000132133
83,513.347,0.86729,1.29492,0.80819,0.41821,0.34322,0.44364,0.32551,0.98317,1.65919,0.79678,0.000125529,0.000125529,0.000125529
